mfccs_mean,mfccs_std,contrast_mean,contrast_std,chroma_mean,chroma_std
-255.03695678710938,139.65968322753906,17.836485806661063,5.794884361412634,0.2438843697309494,0.30266690254211426
70.158447265625,22.780487060546875,16.88445555640975,4.886388450757594,0.2609736919403076,0.22872065007686615
-13.46420669555664,37.04067611694336,20.21716181736239,5.0087193620849835,0.46985775232315063,0.37388479709625244
1.668413519859314,15.056598663330078,18.711590542987224,4.2670498934691405,0.3452214002609253,0.21148905158042908
0.9995021224021912,15.843234062194824,18.95334061682151,4.238735705681702,0.4981691837310791,0.33542150259017944
-7.46032190322876,14.548962593078613,18.403567362587356,2.7316287241656494,0.37322574853897095,0.30409470200538635
1.277517318725586,11.364234924316406,16.720964318367834,2.4504948783472877,0.16372112929821014,0.19331783056259155
-6.3620829582214355,13.517159461975098,,,0.1622067391872406,0.20682300627231598
-5.602525234222412,11.055994033813477,,,0.3347080647945404,0.22261647880077362
-3.909072160720825,13.238204956054688,,,0.7487850785255432,0.300052285194397
0.6071888208389282,9.516172409057617,,,0.34425950050354004,0.2370433658361435
2.289316415786743,8.775527000427246,,,0.2130729854106903,0.265696257352829
-6.68281888961792,8.543993949890137,,,,
-2.4042444229125977,7.492966175079346,,,,
1.1537103652954102,7.827316761016846,,,,
-2.4369003772735596,6.417709827423096,,,,
0.28985846042633057,4.859951019287109,,,,
-0.17023886740207672,5.486328601837158,,,,
-0.19789165258407593,5.323681831359863,,,,
-0.985007643699646,7.446084499359131,,,,
